//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440407.83999207,4464002.07000153,3.52999997,0,151,103,6.000000,9.000000,373348.406250,0.000000,1.000000
440404.83999207,4464001.11000244,4.40000010,0,188,66,5.000000,1.000000,373313.062500,63.000000,1.000000
440407.76999237,4464001.51999847,3.89000010,0,166,88,6.000000,15.000000,373347.593750,0.000000,1.000000
440407.62999298,4464001.80999939,4.05000019,0,173,81,6.000000,28.000000,373350.093750,0.000000,1.000000
440407.93999817,4464001.79999725,3.52999997,0,151,103,6.000000,2.000000,373351.687500,1.000000,1.000000
440406.82999756,4463995.48999969,4.30999994,0,184,70,6.000000,31.000000,373347.593750,0.000000,1.000000
440405.47999146,4464000.25999634,4.38999987,0,188,66,6.000000,6.000000,373350.593750,0.000000,1.000000
440408.55999329,4463997.36999695,6.11000013,6,255,0,6.000000,29.000000,373348.187500,0.000000,1.000000
440403.07999756,4463997.92000000,6.75000000,34,255,0,6.000000,18.000000,373350.687500,1.000000,1.000000
440403.54999115,4464000.68000214,7.19000006,53,255,0,5.000000,11.000000,373311.250000,63.000000,1.000000
440408.68999817,4463998.50000183,5.51999998,0,236,18,5.000000,1.000000,373312.468750,63.000000,1.000000
440406.45999481,4463996.61000244,6.26999998,13,255,0,6.000000,29.000000,373347.781250,0.000000,1.000000
440405.73999359,4464002.68000214,7.03999996,47,255,0,6.000000,28.000000,373349.687500,1.000000,1.000000
440405.84999420,4464000.33999817,6.73000002,33,255,0,6.000000,20.000000,373350.906250,1.000000,1.000000
440405.74999573,4463999.97999756,6.53999996,25,255,0,6.000000,16.000000,373351.500000,1.000000,1.000000
440407.78999664,4464001.43000214,6.71999979,32,255,0,6.000000,16.000000,373351.781250,1.000000,1.000000
440405.24999573,4464000.73999969,8.21000004,97,255,0,6.000000,25.000000,373348.093750,1.000000,1.000000
440406.96999695,4463997.29999725,6.53000021,24,255,0,6.000000,7.000000,373348.687500,0.000000,1.000000
440404.26999237,4464000.79000275,8.38000011,104,255,0,6.000000,26.000000,373349.687500,0.000000,1.000000
440405.24999573,4463999.94999878,7.67000008,74,255,0,6.000000,10.000000,373349.906250,1.000000,1.000000
440405.78999664,4464002.58000366,4.61000013,0,197,57,5.000000,6.000000,373315.250000,63.000000,1.000000
440406.03999664,4464001.46000092,7.69000006,74,255,0,5.000000,30.000000,373313.250000,63.000000,1.000000
440407.08999207,4464001.57000153,6.13000011,7,255,0,5.000000,26.000000,373313.968750,63.000000,1.000000
440405.57999756,4464001.90000336,7.21999979,54,255,0,6.000000,27.000000,373347.781250,1.000000,1.000000
440402.71999695,4463998.89000122,7.44000006,64,255,0,6.000000,19.000000,373348.406250,1.000000,1.000000
440407.60999634,4463997.94999878,6.17000008,9,255,0,6.000000,7.000000,373348.781250,0.000000,1.000000
440406.80999329,4464003.22999756,5.86000013,0,251,3,6.000000,1.000000,373349.281250,0.000000,1.000000
440403.41999390,4463998.00999634,7.28000021,56,255,0,6.000000,24.000000,373349.906250,0.000000,1.000000
440407.62999298,4463999.79999725,5.96000004,0,255,0,6.000000,12.000000,373350.093750,1.000000,1.000000
440404.05999329,4463998.19999878,6.86000013,38,255,0,6.000000,18.000000,373350.906250,1.000000,1.000000
440407.13999512,4463998.40999786,6.15000010,8,255,0,6.000000,2.000000,373351.500000,1.000000,1.000000
440406.52999451,4463999.28000061,8.05000019,90,255,0,5.000000,24.000000,373314.656250,63.000000,1.000000
440405.34999420,4463998.08000366,8.02999973,88,255,0,6.000000,31.000000,373347.406250,0.000000,1.000000
440408.52999451,4463997.10000031,6.23999977,12,255,0,6.000000,29.000000,373348.187500,1.000000,1.000000
440404.80999329,4463998.05999939,7.38999987,62,255,0,6.000000,1.000000,373349.093750,1.000000,1.000000
440404.91999390,4463996.75000183,7.96999979,86,255,0,6.000000,26.000000,373349.906250,0.000000,1.000000
440405.80999329,4463997.60000031,7.21999979,54,255,0,6.000000,4.000000,373350.906250,1.000000,1.000000
440409.39999725,4463997.00000183,5.53000021,0,237,17,5.000000,11.000000,373310.062500,63.000000,1.000000
440405.96999695,4464002.83999817,6.63000011,29,255,0,5.000000,11.000000,373310.656250,63.000000,1.000000
