//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440426.89998962,4464174.24000732,7.76000023,77,255,0,3.000000,3.000000,373180.781250,63.000000,1.000000
440423.99999573,4464169.97999756,8.09000015,91,255,0,3.000000,14.000000,373182.375000,63.000000,1.000000
440428.30999329,4464168.56999390,4.76999998,0,204,50,3.000000,14.000000,373181.687500,63.000000,1.000000
440429.39998962,4464170.56999390,5.23000002,0,224,30,3.000000,25.000000,373178.781250,63.000000,1.000000
440428.61999084,4464171.94999878,7.36999989,61,255,0,3.000000,6.000000,373183.593750,63.000000,1.000000
440425.19999268,4464168.71000854,8.86999989,125,255,0,4.000000,4.000000,373229.000000,63.000000,1.000000
440422.08999207,4464174.37001221,4.38999987,0,188,66,2.000000,24.000000,373100.218750,63.000000,1.000000
440421.56998779,4464172.99998657,6.05999994,4,255,0,2.000000,13.000000,373094.531250,48.000000,1.000000
440426.67998840,4464173.34001343,7.63999987,72,255,0,3.000000,9.000000,373179.281250,63.000000,1.000000
440424.52000000,4464173.12999146,6.84000015,38,255,0,2.000000,20.000000,373101.843750,50.000000,1.000000
440422.53998901,4464167.52000610,5.03000021,0,215,39,2.000000,13.000000,373094.625000,46.000000,1.000000
440423.44999268,4464165.59001343,5.03999996,0,216,38,2.000000,29.000000,373094.843750,47.000000,1.000000
440423.88000061,4464165.93000977,4.82000017,0,206,48,2.000000,24.000000,373100.937500,63.000000,1.000000
440423.42998840,4464167.58000366,5.38999987,0,231,23,3.000000,21.000000,373181.093750,63.000000,1.000000
440424.27000000,4464168.49998657,3.31999993,0,142,112,3.000000,0.000000,373186.593750,63.000000,1.000000
440423.77999451,4464171.21998779,8.68999958,117,255,0,2.000000,11.000000,373095.531250,63.000000,1.000000
440423.03998901,4464168.93000977,7.57000017,69,255,0,2.000000,28.000000,373099.531250,63.000000,1.000000
440424.08999207,4464168.49000732,6.19000006,10,255,0,3.000000,0.000000,373186.281250,63.000000,1.000000
440423.66999390,4464167.89000122,7.73000002,76,255,0,2.000000,13.000000,373094.937500,46.000000,1.000000
440422.86999084,4464168.59001343,7.32000017,59,255,0,2.000000,21.000000,373097.250000,63.000000,1.000000
440422.80999329,4464171.81999390,8.09000015,91,255,0,2.000000,19.000000,373097.750000,63.000000,1.000000
440421.28998901,4464172.31999390,6.90000010,41,255,0,2.000000,14.000000,373098.531250,63.000000,1.000000
