//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440465.20998718,4464109.80999939,4.30000019,0,183,71,3.000000,7.000000,373172.968750,63.000000,1.000000
440455.96999695,4464108.02000610,2.64000010,0,112,142,3.000000,1.000000,373176.375000,63.000000,1.000000
440461.07999756,4464105.50000183,3.50999999,0,150,104,4.000000,0.000000,373237.218750,63.000000,1.000000
440456.40999939,4464108.09999268,3.47000003,0,148,106,4.000000,27.000000,373229.906250,63.000000,1.000000
440459.24999573,4464108.78000061,4.19999981,0,180,74,4.000000,27.000000,373230.500000,63.000000,1.000000
440455.85999634,4464109.00000183,3.43000007,0,146,108,4.000000,10.000000,373233.406250,63.000000,1.000000
440461.55999329,4464112.08999817,4.21000004,0,180,74,4.000000,8.000000,373235.000000,63.000000,1.000000
440456.90999939,4464108.84999268,4.17999983,0,178,76,5.000000,12.000000,373302.781250,63.000000,1.000000
440466.31998779,4464105.75000183,4.88999987,0,209,45,4.000000,10.000000,373235.718750,63.000000,1.000000
440460.30999329,4464105.20999329,7.50000000,66,255,0,4.000000,18.000000,373236.312500,100.000000,1.000000
440463.22999146,4464108.70999329,5.63999987,0,241,13,4.000000,3.000000,373233.031250,63.000000,1.000000
440457.41999390,4464107.49000732,7.05999994,47,255,0,4.000000,22.000000,373234.531250,63.000000,1.000000
440457.57999756,4464110.86000244,5.40999985,0,231,23,5.000000,24.000000,373303.781250,63.000000,1.000000
440465.04999878,4464106.88000671,6.40999985,19,255,0,3.000000,11.000000,373171.968750,63.000000,1.000000
440459.57999756,4464111.19000427,5.11999989,0,219,35,3.000000,23.000000,373174.156250,63.000000,1.000000
440460.53998901,4464109.39999573,6.76000023,35,255,0,3.000000,12.000000,373176.562500,63.000000,1.000000
440464.32999756,4464109.17999451,5.11999989,0,219,35,4.000000,15.000000,373230.500000,63.000000,1.000000
440464.45998718,4464105.09999268,5.73000002,0,245,9,4.000000,11.000000,373231.625000,63.000000,1.000000
440462.78998901,4464102.19999878,6.80000019,36,255,0,4.000000,23.000000,373232.312500,63.000000,1.000000
440464.08999207,4464108.36999695,5.80999994,0,249,5,4.000000,1.000000,373233.625000,63.000000,1.000000
440457.27999451,4464108.86999695,6.30000019,14,255,0,4.000000,24.000000,373234.000000,63.000000,1.000000
440465.32999756,4464107.25000183,5.11999989,0,219,35,4.000000,28.000000,373234.906250,63.000000,1.000000
440464.94999268,4464103.44000427,7.73000002,76,255,0,4.000000,26.000000,373235.406250,63.000000,1.000000
440462.74999573,4464110.58000366,7.51999998,67,255,0,4.000000,20.000000,373236.218750,59.000000,1.000000
440462.24999573,4464103.75000183,7.94999981,85,255,0,3.000000,25.000000,373173.062500,63.000000,1.000000
440460.24000122,4464109.25000183,7.11999989,50,255,0,3.000000,23.000000,373173.968750,63.000000,1.000000
440463.56998779,4464107.24000732,8.23999977,98,255,0,3.000000,30.000000,373175.375000,63.000000,1.000000
440463.24999573,4464104.30000488,7.73999977,77,255,0,4.000000,27.000000,373231.406250,63.000000,1.000000
440463.13999512,4464106.02000610,8.77999973,121,255,0,4.000000,23.000000,373232.312500,63.000000,1.000000
440464.39998962,4464103.80999939,8.89999962,126,255,0,4.000000,5.000000,373232.906250,63.000000,1.000000
440460.95998718,4464103.30000488,7.25000000,56,255,0,4.000000,28.000000,373233.906250,63.000000,1.000000
440463.45998718,4464102.59999268,8.02999973,88,255,0,4.000000,22.000000,373236.031250,63.000000,1.000000
440460.27000000,4464107.03999512,8.47000027,108,255,0,5.000000,19.000000,373300.062500,63.000000,1.000000
440461.49000122,4464104.95999329,7.86000013,82,255,0,5.000000,28.000000,373301.781250,63.000000,1.000000
440462.80999329,4464110.94999878,4.59000015,0,196,58,4.000000,17.000000,373233.312500,63.000000,1.000000
440464.94999268,4464108.81999390,5.61000013,0,240,14,4.000000,3.000000,373233.312500,63.000000,1.000000
440460.31998779,4464106.66000549,8.01000023,88,255,0,5.000000,19.000000,373300.062500,63.000000,1.000000
440464.24999573,4464103.64000122,8.51000023,109,255,0,3.000000,19.000000,373174.281250,63.000000,1.000000
