//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440497.70998718,4464172.55000488,8.06000042,90,255,0,3.000000,22.000000,373169.968750,1.000000
440492.53998901,4464176.19999878,5.55000019,0,237,17,3.000000,27.000000,373165.968750,1.000000
440499.30999329,4464180.59999268,6.21999979,11,255,0,2.000000,24.000000,373114.843750,1.000000
440491.53998901,4464175.74000732,6.71000004,32,255,0,3.000000,30.000000,373169.062500,1.000000
440492.35000183,4464175.17000000,6.94999981,42,255,0,3.000000,28.000000,373169.468750,1.000000
440493.47999146,4464180.37999146,8.10999966,92,255,0,2.000000,25.000000,373109.937500,1.000000
440494.10999634,4464183.77000610,7.82000017,80,255,0,2.000000,7.000000,373110.343750,1.000000
440496.52000000,4464176.96000854,7.69000006,74,255,0,2.000000,31.000000,373109.031250,1.000000
440497.21999695,4464184.61000244,7.57000017,69,255,0,2.000000,11.000000,373110.031250,1.000000
440499.07999756,4464180.74000732,6.65999985,30,255,0,3.000000,9.000000,373165.375000,1.000000
440496.72999146,4464173.31999390,8.50000000,109,255,0,3.000000,5.000000,373166.562500,1.000000
440495.41999390,4464173.49000732,8.90999985,127,255,0,3.000000,3.000000,373167.375000,1.000000
440498.71999695,4464182.27000610,8.77999973,121,255,0,2.000000,3.000000,373112.250000,1.000000
440499.49999573,4464177.28999512,8.84000015,124,255,0,2.000000,22.000000,373115.531250,1.000000
440494.56998779,4464180.49000732,8.30000019,100,255,0,3.000000,8.000000,373170.093750,1.000000
440499.57999756,4464179.40001099,9.22000027,140,255,0,2.000000,28.000000,373114.031250,1.000000
440500.93999817,4464180.17000000,9.56000042,154,255,0,2.000000,25.000000,373111.250000,1.000000
440500.89998962,4464175.09999268,10.97999954,216,255,0,2.000000,4.000000,373116.156250,1.000000
440495.55999329,4464180.28999512,12.00000000,255,250,0,3.000000,24.000000,373169.687500,1.000000
440493.22999146,4464177.93998901,11.07999992,220,255,0,3.000000,30.000000,373168.687500,1.000000
440497.99999573,4464173.09001343,10.56999969,198,255,0,2.000000,20.000000,373115.843750,1.000000
440491.49999573,4464180.81999390,10.28999996,186,255,0,2.000000,1.000000,373111.343750,1.000000
440497.07999756,4464184.46000854,9.05000019,133,255,0,2.000000,14.000000,373112.937500,1.000000
440498.10999634,4464180.87001221,11.01000023,217,255,0,2.000000,12.000000,373113.656250,1.000000
440492.29999878,4464179.87999146,9.28999996,143,255,0,2.000000,20.000000,373114.531250,1.000000
440500.61999084,4464175.78999512,9.13000011,136,255,0,2.000000,20.000000,373116.156250,1.000000
440495.96999695,4464175.09001343,9.59000015,156,255,0,3.000000,27.000000,373165.562500,1.000000
440500.66999390,4464180.12001221,9.84000015,166,255,0,3.000000,17.000000,373166.781250,1.000000
440494.07999756,4464175.87001221,11.42000008,234,255,0,3.000000,12.000000,373168.968750,1.000000
440493.13000061,4464177.99000732,11.10999966,221,255,0,3.000000,10.000000,373169.687500,1.000000
440493.15999939,4464176.22999756,11.06000042,219,255,0,3.000000,8.000000,373170.468750,1.000000
440495.77000000,4464173.61000244,12.21000004,255,241,0,2.000000,21.000000,373111.343750,1.000000
440495.60000183,4464175.61000244,12.22000027,255,240,0,2.000000,9.000000,373110.437500,1.000000
440494.95998718,4464178.43000977,12.22000027,255,240,0,2.000000,4.000000,373114.937500,1.000000
440495.02000000,4464180.87001221,13.02000046,255,206,0,3.000000,4.000000,373170.875000,1.000000
440495.56998779,4464172.49998657,11.60999966,243,255,0,2.000000,15.000000,373109.031250,1.000000
440494.13999512,4464182.05000488,10.25000000,184,255,0,2.000000,3.000000,373111.343750,1.000000
440493.47999146,4464179.49000732,11.81999969,252,255,0,2.000000,23.000000,373110.437500,1.000000
440493.27000000,4464177.77998535,11.76000023,249,255,0,2.000000,17.000000,373111.843750,1.000000
440492.64998962,4464177.52998535,12.11999989,255,245,0,3.000000,0.000000,373172.468750,1.000000
440493.71999695,4464177.74000732,11.19999981,225,255,0,2.000000,15.000000,373108.625000,1.000000
440494.30999329,4464177.21000854,10.84000015,210,255,0,2.000000,29.000000,373109.125000,1.000000
440490.89998962,4464177.81001465,11.60999966,243,255,0,2.000000,9.000000,373109.437500,1.000000
440494.46999695,4464182.24998657,10.86999989,211,255,0,2.000000,27.000000,373109.531250,1.000000
440494.22999146,4464174.68998901,10.84000015,210,255,0,2.000000,25.000000,373110.125000,1.000000
440493.41999390,4464178.65001099,11.68999958,246,255,0,2.000000,7.000000,373110.437500,1.000000
440493.94999268,4464178.80000488,12.10999966,255,245,0,2.000000,7.000000,373110.625000,1.000000
440492.97999146,4464182.59999268,9.25000000,142,255,0,2.000000,21.000000,373110.843750,1.000000
440491.91999390,4464178.67000000,10.68000031,203,255,0,2.000000,17.000000,373111.437500,1.000000
440491.36999084,4464178.14000122,11.97000027,255,251,0,2.000000,10.000000,373112.937500,1.000000
